EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000868082046509,0,1,INITIAL_BUFFERING,Writing,45226
0.00735712051392,0,1,PLAY,InitialBuffering-Play,0
0.00921320915222,0,0,PLAY,StillPlaying,45226
0.0540962219238,0,1,PLAY,Writing,45226
0.135265111923,0,2,PLAY,Writing,45226
0.278348207474,0,3,PLAY,Writing,88783
0.451840162277,0,4,PLAY,Writing,128503
0.660306215286,0,5,PLAY,Writing,177437
0.880347013474,0,6,PLAY,Writing,217761
1.22660422325,1,7,PLAY,Writing,255865
3.81154513359,3,8,PLAY,Writing,1473801
4.01355814934,4,7,PLAY,StillPlaying,45226
5.94093203545,5,8,PLAY,Writing,1473801
8.01135921478,8,7,PLAY,StillPlaying,45226
8.54111814499,8,8,PLAY,Writing,1473801
10.4219751358,10,9,PLAY,Writing,1207152
12.0108430386,12,8,PLAY,StillPlaying,88783
15.7936460972,15,9,PLAY,Writing,3936261
16.011070013,16,8,PLAY,StillPlaying,128503
20.0108962059,20,7,PLAY,StillPlaying,177437
24.0109062195,24,6,PLAY,StillPlaying,217761
24.17141819,24,7,PLAY,Writing,3936261
26.9957690239,26,8,PLAY,Writing,1473801
28.010915041,28,7,PLAY,StillPlaying,255865
30.3906822205,30,8,PLAY,Writing,3936261
32.0113251209,32,7,PLAY,StillPlaying,1473801
32.9237661362,32,8,PLAY,Writing,2409742
34.5327169895,34,9,PLAY,Writing,1207152
36.0110170841,36,8,PLAY,StillPlaying,1473801
37.1804602146,37,9,PLAY,Writing,2944291
40.0113852024,40,8,PLAY,StillPlaying,1473801
44.011272192,44,7,PLAY,StillPlaying,1207152
44.877404213,44,8,PLAY,Writing,3936261
48.0113620758,48,7,PLAY,StillPlaying,3936261
51.6912770271,51,8,PLAY,Writing,3340509
52.0107781887,52,7,PLAY,StillPlaying,3936261
55.4028282166,55,8,PLAY,Writing,3936261
56.0116140842,56,7,PLAY,StillPlaying,1473801
56.9251441956,56,8,PLAY,Writing,3936261
59.5706460476,59,9,PLAY,Writing,3936261
60.0108141899,60,8,PLAY,StillPlaying,3936261
60.9443302155,60,9,PLAY,Writing,3936261
63.112112999,63,10,PLAY,Writing,3936261
64.0108320713,64,9,PLAY,StillPlaying,2409742
66.0815091133,66,10,PLAY,Writing,3936261
68.011272192,68,9,PLAY,StillPlaying,1207152
68.2067301273,68,10,PLAY,Writing,2944291
70.1455512047,70,11,PLAY,Writing,3613836
72.0108850002,72,10,PLAY,StillPlaying,2944291
73.8666191101,73,11,PLAY,Writing,3936261
76.011701107,76,10,PLAY,StillPlaying,3936261
80.0108990669,80,9,PLAY,StillPlaying,3340509
80.0336050987,80,10,PLAY,Writing,3936261
84.0113751888,84,9,PLAY,StillPlaying,3936261
84.2780921459,84,10,PLAY,Writing,3936261
88.0113720894,88,9,PLAY,StillPlaying,3936261
88.4331560135,88,10,PLAY,Writing,3936261
92.011382103,92,9,PLAY,StillPlaying,3936261
92.6249921322,92,10,PLAY,Writing,3936261
96.0113761425,96,9,PLAY,StillPlaying,3936261
96.7660911083,96,10,PLAY,Writing,3936261
100.010895014,100,9,PLAY,StillPlaying,3936261
100.735823154,100,10,PLAY,Writing,3936261
104.011542082,104,9,PLAY,StillPlaying,3936261
108.011287212,108,8,PLAY,StillPlaying,2944291
112.011376143,112,7,PLAY,StillPlaying,3613836
115.128504992,115,8,PLAY,Writing,3936261
116.011497021,116,7,PLAY,StillPlaying,3936261
120.010933161,120,6,PLAY,StillPlaying,3936261
124.010910034,124,5,PLAY,StillPlaying,3936261
126.859570026,126,6,PLAY,Writing,3936261
128.010791063,128,5,PLAY,StillPlaying,3936261
130.937840223,130,6,PLAY,Writing,1008699
132.010873079,132,5,PLAY,StillPlaying,3936261
135.740439177,135,6,PLAY,Writing,1008699
136.010751009,136,5,PLAY,StillPlaying,3936261
139.369874001,139,6,PLAY,Writing,1008699
140.01121521,140,5,PLAY,StillPlaying,3936261
143.475828171,143,6,PLAY,Writing,782553
144.011308193,144,5,PLAY,StillPlaying,3936261
145.357928038,145,6,PLAY,Writing,509091
146.422425032,146,7,PLAY,Writing,509091
147.259766102,147,8,PLAY,Writing,577751
148.011254072,148,7,PLAY,StillPlaying,3936261
150.423802137,150,8,PLAY,Writing,1207152
152.010838032,152,7,PLAY,StillPlaying,1008699
153.864067078,153,8,PLAY,Writing,782553
156.01136899,156,7,PLAY,StillPlaying,1008699
158.434936047,158,8,PLAY,Writing,1207152
160.010877132,160,7,PLAY,StillPlaying,1008699
160.42891717,160,8,PLAY,Writing,1473801
163.55679822,163,9,PLAY,Writing,1473801
164.010782003,164,8,PLAY,StillPlaying,782553
165.145500183,165,9,PLAY,Writing,1207152
167.110438108,167,10,PLAY,Writing,1207152
168.010778189,168,9,PLAY,StillPlaying,509091
172.010884047,172,8,PLAY,StillPlaying,509091
176.011395216,176,7,PLAY,StillPlaying,577751
176.999530077,176,8,PLAY,Writing,1473801
180.010860205,180,7,PLAY,StillPlaying,1207152
183.630944014,183,8,PLAY,Writing,1473801
184.010728121,184,7,PLAY,StillPlaying,782553
186.23925519,186,8,PLAY,Writing,1008699
188.010899067,188,7,PLAY,StillPlaying,1207152
188.620746136,188,8,PLAY,Writing,1008699
190.538444042,190,9,PLAY,Writing,1207152
192.010891199,192,8,PLAY,StillPlaying,1473801
194.176485062,194,9,PLAY,Writing,1473801
196.010864019,196,8,PLAY,StillPlaying,1473801
199.507260084,199,9,PLAY,Writing,1008699
200.010749102,200,8,PLAY,StillPlaying,1207152
204.010919094,204,7,PLAY,StillPlaying,1207152
208.011372089,208,6,PLAY,StillPlaying,1473801
212.010906219,212,5,PLAY,StillPlaying,1473801
216.011377096,216,4,PLAY,StillPlaying,1008699
220.010902166,220,3,PLAY,StillPlaying,1008699
224.011389017,224,2,PLAY,StillPlaying,1207152
228.01089716,228,1,PLAY,StillPlaying,1473801
228.674951077,228,2,PLAY,Writing,1008699
229.254691124,229,3,PLAY,Writing,45226
230.346266031,230,4,PLAY,Writing,88783
231.83249402,231,5,PLAY,Writing,128503
232.010732174,232,4,PLAY,StillPlaying,1008699
234.240854025,234,5,PLAY,Writing,177437
235.15912509,235,6,PLAY,Writing,88783
235.984259129,235,7,PLAY,Writing,88783
236.010659218,236,6,PLAY,StillPlaying,1008699
238.10789299,238,7,PLAY,Writing,217761
240.010815144,240,6,PLAY,StillPlaying,45226
240.087471008,240,7,PLAY,Writing,255865
241.757456064,241,8,PLAY,Writing,255865
244.010878086,244,7,PLAY,StillPlaying,88783
244.586632013,244,8,PLAY,Writing,378355
248.010896206,248,7,PLAY,StillPlaying,128503
249.018293142,249,8,PLAY,Writing,577751
250.818464041,250,9,PLAY,Writing,378355
252.010855198,252,8,PLAY,StillPlaying,177437
253.46547699,253,9,PLAY,Writing,577751
256.011271,256,8,PLAY,StillPlaying,88783
257.328321218,257,9,PLAY,Writing,782553
259.385514021,259,10,PLAY,Writing,577751
260.010733128,260,9,PLAY,StillPlaying,88783
261.734481096,261,10,PLAY,Writing,782553
262.797239065,262,11,PLAY,Writing,782553
264.011345148,264,10,PLAY,StillPlaying,217761
267.64738512,267,11,PLAY,Writing,1207152
268.011121988,268,10,PLAY,StillPlaying,255865
271.147283077,271,11,PLAY,Writing,1207152
272.01079607,272,10,PLAY,StillPlaying,255865
274.482595205,274,11,PLAY,Writing,1207152
276.010864019,276,10,PLAY,StillPlaying,378355
279.04542017,279,11,PLAY,Writing,1473801
280.010800123,280,10,PLAY,StillPlaying,577751
283.01556015,283,11,PLAY,Writing,1473801
284.010825157,284,10,PLAY,StillPlaying,378355
288.010902166,288,9,PLAY,StillPlaying,577751
290.48165822,290,10,PLAY,Writing,2944291
292.011370182,292,9,PLAY,StillPlaying,782553
294.2712152,294,10,PLAY,Writing,1473801
296.011323214,296,9,PLAY,StillPlaying,577751
297.47904706,297,10,PLAY,Writing,1207152
299.502150059,299,11,PLAY,Writing,1207152
300.010857105,300,10,PLAY,StillPlaying,782553
